City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
318,pangody,65.85,74.4859,18.95,83,100,4.61,RU,1690609609
319,suva,-18.1416,178.4415,22.71,64,75,1.54,FJ,1690609836
320,ulanhot,46.0833,122.0833,29.27,51,1,6.35,CN,1690609881
321,saipan,15.1355,145.701,31.39,70,75,3.6,MP,1690609881
322,sinabang,2.4803,96.3801,29.91,65,46,1.04,ID,1690609720
323,saint-philippe,-21.3585,55.7679,23.77,68,35,4.23,RE,1690609882
324,yuanping,38.7153,112.7575,29.44,50,96,1.82,CN,1690609883
325,nova vicosa,-17.8919,-39.3719,19.83,88,95,1.94,BR,1690609883
326,cotonou,6.3654,2.4183,24.99,94,75,4.12,BJ,1690609884
327,georgetown,5.4112,100.3354,32.96,74,40,4.12,MY,1690609865
328,hovd,48.0056,91.6419,26.22,22,100,7.19,MN,1690609884
329,mount gambier,-37.8333,140.7667,14.28,73,30,5.88,AU,1690609885
330,al-hamdaniya,36.2715,43.3737,36.97,12,0,2.04,IQ,1690609885
331,brisas de zicatela,15.8369,-97.0419,27.06,84,28,2.51,MX,1690609886
332,le port,-20.9373,55.2919,24.0,64,0,1.31,RE,1690609886
333,villa elisa,-25.3667,-57.6167,13.91,82,0,1.54,PY,1690609886
334,thabazimbi,-24.5917,27.4116,19.0,37,75,4.17,ZA,1690609887
335,nueva palestina,15.8,-92.75,21.07,97,83,1.0,MX,1690609887
336,cockburn town,21.4612,-71.1419,28.56,80,100,8.99,TC,1690609888
337,naifaru,5.4444,73.3657,28.15,77,70,3.7,MV,1690609888
338,crane,31.3974,-102.3501,28.5,32,0,5.0,US,1690609656
339,antofagasta,-23.65,-70.4,16.6,84,39,1.66,CL,1690609889
340,pocone,-16.2567,-56.6228,20.34,77,99,1.73,BR,1690609889
341,borogontsy,62.6683,131.1683,25.71,29,33,2.03,RU,1690609890
342,kushiro,42.975,144.3747,30.53,66,75,4.12,JP,1690609731
343,vilyuchinsk,52.9306,158.4028,19.15,85,33,2.98,RU,1690609604
344,ladario,-19.0047,-57.6017,18.57,91,5,1.63,BR,1690609891
